steps,ip,throughput
1,82.115.108.68,1.940736037
2,82.115.108.68,2.305859424
3,82.115.108.68,2.234971512
4,82.115.108.68,2.035406088
5,82.115.108.68,2.041524032
,,
,,
1,217.26.55.136,1.671042313
2,82.115.108.68,1.794186557
3,82.115.108.68,1.867118747
4,82.115.108.68,1.664289595
5,82.115.108.68,1.770336657
,,
1,78.46.80.196,16.29850553
2,78.46.80.196,19.0908953
3,78.46.80.196,20.9427234
4,78.46.80.196,20.0606902
5,78.46.80.196,19.89535267
,,
1,149.126.4.45,4.209757878
2,149.126.4.45,4.602900093
3,149.126.4.45,4.128262491
4,149.126.4.45,4.690730385
5,149.126.4.45,4.438885147
,,
1,195.48.58.12,2.406168601
2,195.48.58.12,2.881295857
3,195.48.58.12,2.969063881
4,195.48.58.12,2.562574869
5,195.48.58.12,2.455965437
,,
1,217.150.252.35,5.566164113
2,217.150.252.35,6.478539785
3,217.150.252.35,6.437612555
4,217.150.252.35,5.515993926
5,217.150.252.35,6.635053916
,,
,,
1,178.209.56.137,3.022687795
2,178.209.56.137,3.067820393
3,178.209.56.137,3.079120324
4,178.209.56.137,2.897281685
5,178.209.56.137,2.467502026
,,
1,141.101.62.13,6.711586993
2,141.101.62.13,7.682439682
3,141.101.62.13,8.194887898
4,141.101.62.13,6.543467054
5,141.101.62.13,7.729862149
,,
1,82.195.224.106,13.77619433
2,82.195.224.106,14.32362351
3,82.195.224.106,15.54794687
4,82.195.224.106,14.87376151
5,82.195.224.106,15.97621134
,,
,,
1,192.0.78.12,22.81727049
2,192.0.78.12,25.77000579
3,192.0.78.12,23.70029387
4,192.0.78.12,25.18357623
5,192.0.78.12,25.38092065
